image_id,year,month,day,final_date
15,2026,3,1,2026-03-01
22,25,10,14,2025-10-14
30,28,8,17,2028-08-17
36,2026,8,26,2026-08-26
44,2026,2,7,2026-02-07
50,2025,9,30,2025-09-30
53,2025,12,20,2025-12-20
63,2026,6,16,2026-06-16
71,27,7,20,2027-07-20
79,2026,1,31,2026-01-31
83,26,7,1,2026-07-01
90,2026,9,1,2026-09-01
106,NONE,NONE,NONE,NONE-NONE-NONE
110,2025,10,29,2025-10-29
118,2026,3,23,2026-03-23
127,2024,4,27,2024-04-27
129,2026,1,9,2026-01-09
133,2025,11,25,2025-11-25
135,2026,4,18,2026-04-18
138,2026,5,14,2026-05-14
140,2026,7,14,2026-07-14
143,2027,6,3,2027-06-03
148,2026,2,26,2026-02-26
157,2027,7,8,2027-07-08
160,2026,10,27,2026-10-27
164,2026,4,27,2026-04-27
172,2026,6,10,2026-06-10
178,2026,6,25,2026-06-25
182,2026,10,1,2026-10-01
184,2027,11,19,2027-11-19
190,2026,11,22,2026-11-22
198,2026,5,8,2026-05-08
208,2026,4,13,2026-04-13
214,2026,8,13,2026-08-13
226,2027,3,15,2027-03-15
230,2026,3,28,2026-03-28
231,2028,5,27,2028-05-27
232,2027,11,26,2027-11-26
233,2028,1,13,2028-01-13
241,2027,8,10,2027-08-10
247,2026,5,20,2026-05-20
251,2026,2,24,2026-02-24
260,2027,4,1,2027-04-01
275,2026,4,23,2026-04-23
283,2027,9,17,2027-09-17
296,2026,7,28,2026-07-28
304,2026,6,1,2026-06-01
311,2026,8,9,2026-08-09
327,2025,10,21,2025-10-21
336,2025,11,20,2025-11-20
342,2026,6,22,2026-06-22
350,2027,5,15,2027-05-15
366,2026,9,5,2026-09-05
368,2026,9,22,2026-09-22
377,2026,7,1,2026-07-01
386,2026,6,10,2026-06-10
390,2026,5,19,2026-05-19
396,2026,2,27,2026-02-27
406,2026,8,27,2026-08-27
415,2026,5,27,2026-05-27
421,2026,7,17,2026-07-17
423,2026,6,4,2026-06-04
432,2027,4,28,2027-04-28
440,2026,8,13,2026-08-13
453,2026,1,26,2026-01-26
466,2026,4,11,2026-04-11
468,2026,4,6,2026-04-06
473,2026,5,21,2026-05-21
486,2027,7,15,2027-07-15
492,2026,3,12,2026-03-12
